"MEASURE","Measure","REGIONTYPE","Geography Level","LGA_2016","Region","FREQUENCY","FREQUENCY","TIME","TIME","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2001","2001",45265,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2002","2002",45816,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2003","2003",46180,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2004","2004",46505,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2005","2005",47004,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2006","2006",47566,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2007","2007",48140,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2008","2008",48518,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2009","2009",48814,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2010","2010",49222,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2011","2011",49451,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2012","2012",49802,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2013","2013",50354,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2014","2014",51021,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2015","2015",51525,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10050","Albury (C)","A","Annual","2016","2016",52165,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2001","2001",29058,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2002","2002",28920,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2003","2003",28739,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2004","2004",28524,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2005","2005",28459,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2006","2006",28479,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2007","2007",28599,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2008","2008",28923,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2009","2009",29281,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2010","2010",29524,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2011","2011",29678,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2012","2012",29848,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2013","2013",29993,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2014","2014",30105,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2015","2015",30217,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10130","Armidale Regional (A)","A","Annual","2016","2016",30311,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","A","Annual","2001","2001",37856,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","A","Annual","2002","2002",38417,,
"ERP","Estimated Resident Population","LGA2016","Local Government Areas (2016)","10250","Ballina (A)","A","Annual","2003","2003",38870,,
