c10_drug_dealing_&_trafficking, grand_total_offence_count, f30_other_government_regulatory_offences, total_division_c_offences, d20_disorderly_&_offensive_conduct, d10_weapons_&_explosives_offences, a80_dangerous_&_negligent_acts_endangering_people, a30_sexual_offences, a10_homicide_&_related_offences, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, a20_assault_&_related_offences, c30_drug_use_&_possession, b20_property_damage, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d40_public_security_offences, a40_abduction_&_related_offences, b30_burglary_break_&_enter, total_division_b_offences, lga_erp, lga_name11, lga_code, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a70_stalking_harassment_&_threatening_behaviour, b40_theft, a60_blackmail_&_extortion, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery
49,9182,18,183,122,122,57,132,2,110,27,33,247,788,118,1917,1113,47,"2009",95,291,16,5,null,6,1227,7072,91390,"Ballarat (C)","20570",496,386,1,93,3586,2,null,3,null
36,6648,5,181,71,72,66,108,2,58,26,52,227,543,129,1077,901,34,"2009",58,178,16,7,1,6,1022,4619,122248,"Banyule (C)","20660",743,685,2,123,2235,1,null,12,null
21,2312,59,93,117,48,30,135,null,45,70,6,34,209,68,429,417,23,"2009",27,188,4,2,null,2,253,1437,28561,"Bass Coast (S)","20740",107,62,1,35,694,null,null,8,null
28,2175,56,86,79,87,30,32,2,34,83,5,62,184,48,331,295,27,"2009",27,193,10,3,null,3,263,1412,40516,"Baw Baw (S)","20830",106,72,1,39,729,null,null,23,null
19,4204,11,171,61,75,21,80,null,28,14,30,140,251,133,802,457,6,"2009",23,142,19,null,null,3,586,3273,94850,"Bayside (C)","20910",147,119,null,68,1722,4,null,3,null
14,1051,40,84,37,46,14,32,2,30,42,null,16,128,62,182,203,27,"2009",22,110,8,null,null,4,91,544,13796,"Benalla (RC)","21010",68,38,null,23,233,null,null,2,null
15,7074,13,92,159,88,34,84,2,39,22,57,374,301,75,1021,580,53,"2009",33,300,1,4,null,10,1434,5860,165284,"Boroondara (C)","21110",220,181,null,81,2998,11,1,5,null
1,472,16,35,15,6,2,13,null,3,28,null,13,35,24,67,62,3,"2009",12,24,10,1,null,1,43,253,12112,"Alpine (S)","20110",70,67,null,11,118,null,null,11,null
3,878,6,44,24,18,14,30,null,23,11,1,9,128,39,180,207,24,"2009",12,66,2,2,null,null,67,481,11332,"Ararat (RC)","20260",69,46,1,34,213,null,null,2,null
211,15096,130,755,182,336,78,278,7,140,185,232,808,796,469,1594,1597,31,"2009",127,550,75,7,1,17,2259,11054,185397,"Brimbank (C)","21180",955,815,1,182,6264,7,null,47,2
null,192,5,2,10,5,3,8,null,2,6,null,4,15,1,33,31,2,"2009",3,17,1,1,null,null,33,132,6751,"Buloke (S)","21270",4,2,null,5,59,null,null,null,null
19,2325,17,65,49,53,21,45,null,39,24,3,45,194,36,525,310,36,"2009",27,138,10,5,null,1,297,1644,37021,"Campaspe (S)","21370",144,105,null,46,750,null,null,2,null
27,4101,15,99,65,94,42,99,2,48,30,18,158,413,54,699,703,16,"2009",49,175,18,6,null,7,645,2868,67889,"Cardinia (S)","21450",226,178,null,120,1317,2,null,9,null
93,13724,32,378,238,137,103,340,11,106,71,115,510,1145,221,1903,2113,41,"2009",154,417,64,7,1,15,1749,10148,246678,"Casey (C)","21610",597,491,3,379,5831,5,null,29,1
4,924,13,48,52,41,14,20,null,26,17,null,16,113,38,177,170,18,"2009",15,111,6,3,null,null,74,500,12587,"Central Goldfields (S)","21670",78,52,null,23,218,null,null,1,null
20,1317,16,104,28,56,11,56,2,26,30,4,25,114,75,212,223,10,"2009",10,94,9,9,null,null,171,805,20844,"Colac-Otway (S)","21750",61,35,null,36,387,null,null,5,null
23,776,1,60,17,27,12,28,null,10,2,null,74,70,26,122,130,10,"2009",9,54,11,null,null,null,94,503,16623,"Corangamite (S)","21830",27,17,1,20,204,null,null,null,null
67,11412,32,387,149,160,76,125,5,91,59,117,718,661,294,1461,1178,48,"2009",92,359,23,2,2,6,1854,9156,140289,"Darebin (C)","21890",273,182,null,177,5031,11,3,25,null
